7,Арканний меч  ,"Втілення, 7 рівень",1 дія,60 футів,"В, С, М (мініатюрний платиновий меч із руків’ям та навершям з міді та цинку, вартістю 250 зм)","Концентрація, до 1 хвилини","Ви створюєте вимір чистої енергії у формі меча, що зависає в повітрі у межах відстані. Він існує, поки діють чари. Коли меч виникає, ви робите атаку ближнього бою чарами проти істоти за своїм вибором у межах 5 футів від меча. У випадку влучання ціль отримує 3к10 ушкоджень чистою енергією. Поки чари не закінчаться, ви можете використовувати бонусну дію в кожен свій хід, щоб переміщувати меч на відстань до 20 футів у простір, який ви можете бачити, і повторити атаку проти тієї самої або іншої цілі.","Бард, чарівник"
9,Астральна прокція  ,"Некромантія, 9 рівень",1 година,10 футів,"В, С, М (для кожної істоти, на яку ви впливаєте цими чарами, ви повинні надати один гіацинт вартістю принаймні 1000 зм та один вишуканий різьблений злиток срібла вартістю принаймні 100 зм, і чари поглинають всі складові)",Особлива,"Ви та ще до восьми згодних істот у межах відстані проєктують свої астральні тіла до Астрального плану (чари провалюються і чарування витрачене, якщо ви вже на цьому плані). Матеріальне тіло, яке ви залишаєте, непритомне й у стані завмерлого існування; воно не потребує ані їжі, ані повітря, і не старішає. Ваше астральне тіло повторює вашу смертну форму майже повністю, відтворюючи вашу ігрову статистику та майно. Основною відмінністю є сріблястий шнур, який тягнеться за вами від точки між лопатками, розчиняючись до невидимості через 1 фут. Цей шнур є вашим зв’язком із матеріальним тілом. Поки цей зв’язок залишається неушкодженим, ви можете знайти шлях додому. Якщо шнур перерізано - таке може статися лише тоді, коли ефект спеціально вказує на це — ваші душа й тіло розділяються, що миттєво вбиває вас. Ваша астральна форма може вільно подорожувати через астральний план і проходити через портали, що ведуть до будь-якого іншого плану. Якщо ви входите до нового плану або повертаєтеся на план, де створювали ці чари, ваше тіло та майно переносяться разом зі срібним шнуром, що дозволяє вам знову увійти до свого тіла, коли ви входите в новий план. Ваша астральна форма є окремим втіленням. Будь-які ушкодження чи інші ефекти, застосовані до нього, не мають жодного впливу на ваше фізичне тіло, і вони не зберігаються, коли ви повертаєтеся до свого тіла. Чари завершуються для вас і ваших супутників, коли ви використовуєте дію для їх завершення. Коли чари завершуються, істоти під дією чарів повертаються до своїх фізичних тіл, і ті прокидаються. Чари можуть також завершитися раніше для вас чи одного з ваших супутників. Успішні чари розвіювання магії, використані проти астрального чи фізичного тіла, завершують чари для цієї істоти. Якщо початкове тіло істоти чи його астральна форма втрачають пункти здоров’я до 0, чари для цієї істоти завершуються. Якщо чари завершуються і срібний шнур недоторканний, він витягує астральну форму істоти назад до її тіла, завершуючи її стан завмерлого існування. Якщо ви повертаєтеся у своє тіло передчасно, ваші супутники залишаються у своїх астральних формах і мусять знайти власний шлях назад до своїх тіл, зазвичай шляхом зниження пунктів здоров’я до 0.","Клірик, чарівник, чаклун"
9,Бажання ,"З’явлення, 9 рівень",1 дія,На себе,В,Миттєво,"Бажання є найбільш потужними чарами, які може створити смертна істота. Просто проказавши це вголос, ви можете змінити самі основи реальності відповідно до своїх бажань. Основне використання цих чарів — дублювати будь-які інші чари 8 та нижчих рівнів. Ви не повинні відповідати жодним вимогам для цих чарів, включно з використанням цінних складових. Чари просто починають діяти. Або ж ви можете створити один із наступних ефектів за власним вибором: Можливо, ви зможете досягти чогось, що виходить за межі наведених вище прикладів. Поясніть своє бажання Майстру якомога точніше. Майстер має велику свободу вирішувати, що відбувається в такому випадку; чим більше бажання, тим більша ймовірність, що щось піде не так. Ці чари можуть просто провалитися, бажаний ефект може бути досягнутий лише частково, або ви можете постраждати від якихось непередбачених наслідків через неточність у формулюванні бажання. Наприклад, побажання, щоб лиходій помер, може перенести вас у часі до періоду, коли цього лиходія більше не буде серед живих, фактично вилучивши вас із гри. Подібним чином бажання отримати легендарний магічний предмет або артефакт може миттєво перенести вас у присутність поточного власника предмета. Стрес від використання цих чарів для створення будь-якого ефекту, крім дублювання іншого заклинання, послаблює вас. Витримавши цей стрес, кожного разу, коли ви створюєте чари і доки не завершите тривалий відпочинок, ви отримуєте 1к10 некротичних ушкоджень за рівень створюваних чарів. Ці ушкодження неможливо зменшити і їм неможливо запобігти жодним чином. Крім того, ваша Сила падає до 3, якщо вона ще не 3 або нижче, на 2к4 днів. За кожний із цих днів, які ви витрачаєте на відпочинок і займаєтеся лише легкими вправами, час відновлення, що залишився, зменшується на 2 дні. Нарешті, існує 33-відсоткова ймовірність того, що ви більше ніколи не зможете створити бажання, якщо зазнаєте цього стресу.","Заклинач, чарівник"
2,Бачення невидимого  ,"Віщування, 2 рівень",1 дія,Дотик Складові:,"В, С, М (дрібка тальку та маленька посипка срібного порошку)",1 година,"Поки діють чари, ви бачите невидимих істот та предмети, ніби вони видимі, і ви можете бачити в Етерний план. Етерні істоти та предмети виглядають примарно та напівпрозоро.","Бард, заклинач, чарівник"
6,Бенкет геров  ,"З’явлення, 6 рівень",10 хвилин,30 футів,"В, С, М (прикрашена дорогоцінним камінням чаша вартістю щонайменше 1000 зм, яка поглинається чарами)",Миттєво,"Ви влаштовуєте великий бенкет, включно з чудовою їдою та напоями. Споживання бенкету триває 1 годину, він зникає з плином цього часу, і вигідні ефекти не спрацьовують, поки ця година не минула. У бенкеті можуть брати участь до 12 істот. Істота, що бере участь у бенкеті, отримує кілька привілеїв. Істота зцілюється від усіх хвороб та отрут, набуває імунітету до отрути та стану наляканості, і робить всі рятівні кидки Мудрості з перевагою. Максимум пунктів здоров’я істоти зростає на 2к10, і вона здобуває цю кількість пунктів здоров’я. Ці привілеї тривають 24 години.","Клірик, друїд"
1,Благословення ,"Зачарування, 1 рівень",1 дія,30 футів,"В, С, М (бризки святої води)","Концентрація, до 1 хвилини","Ви благословляєте до трьох істот на свій вибір у межах відстані. Щоразу, коли ціль робить кидок атаки або рятівний кидок до закінчення дії чарів, ціль може кинути 1к4 і додати число, що випало, до кидка атаки або рятівного кидка. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2-го рівня або вищої, ви можете обрати одну додаткову істоту за кожен рівень чарунки вище першої.","Клірик, паладин"
1,Божа милість  ,"Втілення, 1 рівень",1 бонусна,На себе,"В, С","Концентрація, до 1 хвилини","Ваша молитва посилює вас божественним випромінюванням. Поки чари не завершаться, ваші атаки зброєю завдають додаткові 1к4 ушкоджень променистою енергією при влучанні.",Паладин
7,Божественне слово  ,"Втілення, 7 рівень",1 бонусна,30 футів,В,Миттєво,"Ви промовляєте божественне слово, наділене силою, що сформувала світ на зорі творіння. Виберіть будь-яку кількість істот, яких ви можете бачити в межах відстані. Кожна істота, яка може вас чути, повинна зробити рятівний кидок Харизми. У разі невдачі істота страждає від ефекту, який залежить від її поточних пунктів здоров’я: Незалежно від поточних пунктів здоров’я небожителі, стихійники, феї або погань, що провалили ряткидок, виганяються на свій рідний план (якщо вони вже не перебувають там), і не можуть повернутися на ваш поточний план в наступні 24 години, окрім як за допомогою чарів бажання.",Клірик
9,Брама ,"З’явлення, 9 рівня",1 дія,60 футів,"В, С, М (діамант вартістю не менше 5000 зм)","Концентрація, до 1 хвилини","Ви являєте портал, що пов’язує вільний простір, який ви можете бачити в межах відстані, із точним розташуванням на іншому плані існування. Портал є круглим отвором, який ви можете розтягнути від 5 до 20 футів у діаметрі. Ви можете спрямувати портал у будь-якому напрямку за власним вибором. Портал існує, поки діють чари. Портал має передній та задній бік на кожному з планів, де з’являється. Подорож крізь портал можлива тільки шляхом переміщення через його передній бік. Усе, що так вчиняє, миттєво переноситься на інший план, з’являючись у вільному просторі, найближчому до порталу. Божества та інші планарні правителі можуть запобігти відкриттю порталів, створених цими чарами, у своїй присутності чи будь-де в їхніх доменах. Коли ви створюєте ці чари, ви можете назвати ім’я конкретної істоти (псевдонім, титул чи прізвисько не спрацюють). Якщо ця істота перебуває на плані, відмінному від того, на якому перебуваєте ви, портал відкривається в безпосередній близькості від названої істоти та притягує істоту крізь себе до найближчого вільного простору з вашого боку порталу. Ви не здобуваєте жодної спеціальної сили над істотою, і вона вільна діяти так, як вважає за необхідне Майстер. Вона може піти геть, атакувати вас або допомогти вам.","Клірик, заклинач, чарівник"
4,Більша невидимість  ,"Ілюзія, 4 рівень",1 дія,Дотик Складові:,"В, С","Концентрація, до 1 хвилини","Ви або істота, якої ви торкаєтеся, стаєте невидимими на час дії чарів. Усе, що ціль несе або носить, стає невидимим, поки цільова особа тримає це при собі.","Бард, заклинач, чарівник"
5,Більше відновлення  ,"Перешкоджання, 5 рівень",1 дія,Дотик Складові:,"В, С, М (діамантовий пил вартістю щонайменше 100 зм, який поглинається чарами)",Миттєво,"Ви наповнюєте істоту, котрої торкаєтеся, позитивною енергією, щоб скасувати виснажливий ефект. Ви можете зменшити рівень виснаження цілі на один, або завершити на цілі один із наступних ефектів:","Бард, клірик, друїд"
